pair,htf_timeframe,direction,entry_type,pivot_time,valid_time,gap_touch_time,entry_time,exit_time,duration_days,pivot_price,extreme_price,near_price,gap_pips,wick_diff_pips,wick_diff_pct,total_refinements,priority_refinement_tf,entry_price,sl_price,tp_price,exit_price,final_rr,sl_distance_pips,tp_distance_pips,exit_type,pnl_pips,pnl_r,win_loss,mfe_pips,mae_pips,lots,entry_spread_pips,exit_spread_pips,commission_usd
NZDCAD,M,bearish,direct_touch,2010-08-02,2010-09-01,2010-09-01 01:00:00,2010-09-02 13:00:00,2010-10-18 08:00:00,45.791666666666664,0.74699,0.76079,0.75423,138.0,65.6000000000001,47.53623188405805,8,3D,0.75421,0.7682233333333334,0.73319,0.7682233333333334,1.5,140.1333333333332,210.2000000000004,sl,-143.79105365839084,-1.0296697454214387,loss,125.900000000001,142.09999999999945,0.7136060894386305,2.467989849579108,1.1897304754783067,3.568030447193152
AUDUSD,M,bearish,direct_touch,2010-08-02,2010-09-01,2010-09-01 09:00:00,2010-09-09 01:00:00,2010-09-14 15:00:00,5.583333333333333,0.90552,0.92218,0.90689,166.6,152.90000000000026,91.77671068427385,14,3D,0.92054,0.94166,0.88886,0.94166,1.5,211.20000000000027,316.8000000000004,sl,-214.9354441978879,-1.0200541865430286,loss,33.60000000000029,233.2999999999996,0.4734848484848479,1.2630598045702168,2.4723843933167364,2.3674242424242395
GBPNZD,M,bullish,direct_touch,2010-08-02,2010-09-01,2010-09-02 02:00:00,2010-09-10 20:00:00,2010-12-28 20:00:00,109.0,2.16352,2.09858,2.15157,649.4,529.8999999999987,81.59839852171216,11,D,2.10626,2.024793333333333,2.22846,2.024793333333333,1.5,814.6666666666702,1222.000000000003,sl,-816.347168518381,-1.002676557101118,loss,577.3000000000028,839.7999999999994,0.12274959083469669,0.41673208518854327,1.2637697665219438,0.6137479541734835
AUDUSD,M,bearish,direct_touch,2010-05-03,2010-06-01,2010-09-09 01:00:00,2010-09-13 14:00:00,2010-09-21 18:00:00,8.166666666666666,0.92373,0.93887,0.92748,151.4,113.9000000000001,75.23117569352715,14,3D,0.9354,0.9532733333333333,0.90859,0.9532733333333333,1.5,178.73333333333295,268.09999999999997,sl,-179.62609457521816,-1.0077923978471757,loss,40.40000000000043,210.39999999999947,0.5594927265945555,0.48035619901351345,0.41240504287195756,2.797463632972778
NZDUSD,M,bearish,direct_touch,2010-08-02,2010-09-01,2010-09-09 08:00:00,2010-09-14 15:00:00,2010-10-06 15:00:00,22.0,0.72605,0.73966,0.73564,136.1,40.20000000000023,29.53710506980179,2,H4,0.73748,0.7541733333333334,0.71244,0.7541733333333334,1.5,166.93333333333337,250.4000000000006,sl,-169.75437392666825,-1.0198944125000093,loss,159.0999999999998,171.20000000000024,0.5990415335463257,1.0646372667520505,1.7564033265826402,2.995207667731629
AUDJPY,M,bearish,direct_touch,2010-08-02,2010-09-01,2010-09-13 00:00:00,2010-09-15 02:00:00,2010-09-17 04:00:00,2.0833333333333335,78.191,79.4335,79.3135,124.24999999999999,11.999999999999034,9.657947686115923,3,wick_diff,79.3135,80.89016666666667,76.9485,80.89016666666667,1.5,157.6666666666668,236.5000000000009,sl,-161.34252470378954,-1.0233458226455987,loss,40.749999999999886,168.84999999999906,0.0063424947145877325,1.3503150321102455,2.3255430050123387,0.03171247357293866
AUDCHF,M,bearish,direct_touch,2010-08-02,2010-09-01,2010-09-10 01:00:00,2010-09-17 07:00:00,2011-03-15 04:00:00,178.875,0.94207,0.96647,0.9601,244.0,63.700000000000976,26.106557377049576,7,3D,0.96347,0.9940033333333335,0.91767,0.91767,1.5,305.3333333333341,458.0000000000006,tp,454.1792396487265,1.4858490381508473,win,461.3,275.6999999999998,0.3275109170305669,2.156077662484057,1.664682688790334,1.6375545851528344
EURUSD,M,bearish,direct_touch,2010-08-02,2010-09-01,2010-09-16 08:00:00,2010-09-22 00:00:00,2010-09-30 09:00:00,8.375,1.30632,1.33352,1.31064,272.0,228.8000000000001,84.11764705882358,11,3D,1.33076,1.3651866666666665,1.27912,1.3651866666666665,1.5,344.266666666666,516.3999999999991,sl,-348.453332762606,-1.0136134762662858,loss,40.000000000000036,366.40000000000003,0.2904725019364839,2.4433299350356315,1.7433361609046665,1.4523625096824193
EURJPY,M,bearish,direct_touch,2010-08-02,2010-09-01,2010-09-17 07:00:00,2010-09-29 00:00:00,2010-11-23 16:00:00,55.666666666666664,112.804,114.7405,114.1875,193.65,55.29999999999973,28.556674412599907,6,D,114.1465,116.3325,110.8675,110.8675,1.5,218.59999999999928,327.89999999999964,tp,325.89752314599707,1.4908166658096895,win,339.4500000000008,153.9500000000004,0.004574565416285468,0.9489616606288439,1.0535151933738196,0.02287282708142734
AUDNZD,M,bearish,direct_touch,2010-04-01,2010-05-03,2010-09-16 00:00:00,2010-09-29 06:00:00,2010-12-22 21:00:00,84.625,1.2905,1.32342,1.31273,329.2,106.90000000000087,32.47266099635507,15,3D,1.31308,1.3500800000000002,1.25758,1.3500800000000002,1.5,370.0000000000014,555.000000000001,sl,-372.0690033024576,-1.0069432521688004,loss,487.99999999999955,390.8,0.27027027027026923,1.439729643002876,0.6292736594543085,1.3513513513513462
GBPAUD,M,bullish,direct_touch,2010-05-03,2010-06-01,2010-09-10 17:00:00,2010-09-29 11:00:00,2010-12-15 12:00:00,77.04166666666667,1.65898,1.62208,1.63488,369.0,128.00000000000145,34.68834688346922,6,D,1.62377,1.5756966666666667,1.6958799999999998,1.5756966666666667,1.5,480.73333333333187,721.0999999999989,sl,-484.7939097280984,-1.0094867072419218,loss,336.00000000000074,493.90000000000043,0.208015531826377,2.053357321507355,2.007219073258634,1.040077659131885
USDCAD,M,bullish,direct_touch,2010-08-02,2010-09-01,2010-09-10 11:00:00,2010-10-05 14:00:00,2010-12-31 15:00:00,87.04166666666667,1.02875,1.01076,1.02569,179.89999999999998,149.29999999999887,82.99055030572478,4,H4,1.01628,0.9959733333333335,1.04674,0.9959733333333335,1.5,203.06666666666584,304.5999999999993,sl,-207.79402371757791,-1.0257420734614844,loss,210.79999999999987,227.20000000000073,0.4924491135915975,2.4723469267491502,2.255010124161966,2.4622455679579875
GBPUSD,M,bearish,direct_touch,2010-08-02,2010-09-01,2010-09-17 05:00:00,2010-10-07 11:00:00,2010-12-22 13:00:00,76.08333333333333,1.57111,1.59982,1.57224,287.09999999999997,275.7999999999994,96.06408916753722,13,D,1.59964,1.6378,1.5424,1.5424,1.5,381.5999999999997,572.3999999999995,tp,569.9160779879242,1.4921804978719202,win,577.9999999999985,303.20000000000124,0.26205450733752644,1.8162550362979955,0.6676669757786194,1.3102725366876322
GBPJPY,M,bullish,direct_touch,2010-09-01,2010-10-01,2010-10-12 13:00:00,2010-10-19 16:00:00,2010-10-25 07:00:00,5.625,129.224,127.6555,128.6645,156.85,100.90000000000003,64.32897672935928,1,H4,128.226,126.515,130.7925,126.515,1.5,171.09999999999985,256.64999999999907,sl,-175.0600252583837,-1.0231737303236927,loss,101.80000000000007,174.80000000000047,0.00584453535943893,2.474525345554343,1.485499912830416,0.029222676797194647
EURAUD,M,bullish,direct_touch,2010-10-01,2010-11-01,2010-11-01 12:00:00,2010-11-01 14:00:00,2010-11-24 09:00:00,22.791666666666668,1.40985,1.36611,1.40453,437.4,384.2000000000012,87.83721993598564,27,D,1.40512,1.3617359999999998,1.4535900000000002,1.3617359999999998,1.1172321593214118,433.8400000000009,484.7000000000023,sl,-436.3772204593341,-1.0070007847578215,loss,116.80000000000135,439.1999999999996,0.23049972340033148,0.8427377163886179,1.6944827429434084,1.1524986170016573
GBPAUD,M,bullish,direct_touch,2010-10-01,2010-11-01,2010-11-01 02:00:00,2010-11-02 03:00:00,2010-12-17 15:00:00,45.5,1.62511,1.57672,1.62034,483.9,436.1999999999999,90.14259144451331,6,H4,1.61552,1.5718809999999999,1.6735,1.5718809999999999,1.328628062054576,436.39000000000203,579.7999999999992,sl,-438.5900580289159,-1.0061872591693528,loss,270.2999999999989,455.1000000000016,0.2291528220170021,1.5091866488697614,0.6908713800435918,1.1457641100850104
AUDJPY,M,bearish,direct_touch,2010-10-01,2010-11-01,2010-11-02 11:00:00,2010-11-03 21:00:00,2010-11-22 01:00:00,18.166666666666668,80.77,81.8265,81.426,105.64999999999999,40.049999999999386,37.90818741126303,3,H4,81.658,82.95433333333334,79.7135,82.95433333333334,1.5,129.63333333333367,194.4500000000005,sl,-133.74774156798566,-1.0317773841706248,loss,131.00000000000023,134.00000000000034,0.007714065312419625,2.357835435875804,1.7565727987755282,0.03857032656209813
EURJPY,M,bearish,direct_touch,2010-10-01,2010-11-01,2010-11-03 13:00:00,2010-11-04 09:00:00,2010-11-09 05:00:00,4.833333333333333,113.88,115.6855,114.2215,180.55,146.39999999999986,81.08557186374958,11,3D,115.35,117.53366666666666,112.0745,112.0745,1.5,218.36666666666673,327.5499999999994,tp,325.4058334500243,1.4901579916807703,win,328.79999999999967,7.400000000001228,0.004579453518546785,1.388034695760219,0.756131854214996,0.022897267592733927
GBPJPY,M,bearish,direct_touch,2010-10-01,2010-11-01,2010-11-04 12:00:00,2010-11-10 12:00:00,2010-12-23 08:00:00,42.833333333333336,131.264,135.059,133.0285,379.5,203.04999999999893,53.504611330698005,10,D,132.4505,135.7715,127.46900000000001,127.46900000000001,1.5,332.0999999999998,498.1499999999997,tp,495.11641128191286,1.4908503802526742,win,498.25000000000017,177.5499999999994,0.0030111412225233385,2.1578428438983126,0.8757458741892642,0.015055706112616692
CADJPY,M,bearish,direct_touch,2010-10-01,2010-11-01,2010-11-05 12:00:00,2010-11-10 16:00:00,2011-03-04 13:00:00,113.875,81.1445,84.0715,82.3315,292.7,173.9999999999995,59.44653228561649,13,D,82.43,85.23833333333336,78.21749999999999,85.23833333333336,1.5,280.83333333333513,421.250000000002,sl,-284.2000052019529,-1.0120059532413688,loss,182.20000000000027,295.2999999999989,0.003560830860534102,1.4260937551546347,1.940578113462986,0.01780415430267051
NZDCHF,M,bearish,direct_touch,2010-08-02,2010-09-01,2010-11-01 08:00:00,2010-11-18 16:00:00,2010-12-13 21:00:00,25.208333333333332,0.75547,0.78252,0.77502,270.5,74.9999999999995,27.726432532347324,9,D,0.7748,0.8057200000000001,0.72842,0.72842,1.5,309.20000000000056,463.80000000000086,tp,460.52123229514797,1.4877788884060386,win,503.80000000000086,29.399999999999427,0.3234152652005169,0.8388327311951574,2.4399349736584055,1.6170763260025844
GBPCAD,M,bullish,direct_touch,2010-10-01,2010-11-01,2010-11-02 10:00:00,2010-11-28 20:00:00,2010-12-28 15:00:00,29.791666666666668,1.61764,1.57968,1.58402,379.59999999999997,43.400000000000105,11.433087460484748,2,wick_diff,1.58402,1.5363,1.6556,1.5363,1.5,477.1999999999998,715.7999999999997,sl,-481.0494761853823,-1.0091145770858811,loss,191.20000000000024,487.19999999999874,0.20955574182732617,1.558921195686149,2.2905549896967745,1.0477787091366308
AUDNZD,M,bearish,direct_touch,2010-10-01,2010-11-01,2010-12-09 04:00:00,2010-12-09 14:00:00,2010-12-13 21:00:00,4.291666666666667,1.317,1.32205,1.31798,50.49999999999999,40.70000000000018,80.59405940594095,2,H4,1.32146,1.3278,1.31195,1.3278,1.5,63.40000000000012,95.10000000000129,sl,-65.8631563166523,-1.0467374813352077,loss,92.40000000000137,79.79999999999876,1.5772870662460536,0.8866021402824393,1.5765541763695698,7.886435331230269
EURCHF,M,bullish,direct_touch,2010-09-01,2010-10-01,2010-12-14 14:00:00,2010-12-15 06:00:00,2010-12-17 07:00:00,2.0416666666666665,1.2871,1.27661,1.28522,104.89999999999999,86.10000000000007,82.07816968541475,5,H4,1.28225,1.272023333333333,1.29759,1.272023333333333,1.5,102.26666666666827,153.4000000000013,sl,-104.68950308763158,-1.0285805386665248,loss,47.80000000000006,102.59999999999935,0.9778357235984201,1.0643396828272291,1.3584967381356936,4.8891786179921
GBPJPY,M,bullish,direct_touch,2010-11-01,2010-12-01,2010-12-22 13:00:00,2010-12-28 09:00:00,2011-01-13 14:00:00,16.208333333333332,128.866,126.4575,128.782,240.85,232.45000000000147,96.5123520863614,6,D,126.8285,123.86449999999999,131.27450000000002,131.27450000000002,1.5,296.4000000000013,444.6000000000012,tp,442.3470502855608,1.492382085983667,win,460.15000000000015,131.85000000000002,0.0033738191632928325,0.7903202914119148,1.4626294230287282,0.01686909581646416
USDCAD,M,bullish,direct_touch,2010-11-01,2010-12-01,2010-12-01 12:00:00,2010-12-28 14:00:00,2011-03-01 13:00:00,62.958333333333336,1.01926,0.99778,0.99807,214.79999999999998,2.9000000000001247,1.3500931098697042,0,wick_diff,0.99807,0.9696233333333334,1.04074,0.9696233333333334,1.5,284.4666666666662,426.6999999999998,sl,-287.2222807637814,-1.011444624198905,loss,77.4000000000008,296.6000000000002,0.3515350363252877,0.4472268174655459,2.3083872796492533,1.7576751816264387
AUDUSD,M,bearish,direct_touch,2010-11-01,2010-12-01,2010-12-03 13:00:00,2010-12-29 18:00:00,2011-04-20 06:00:00,111.5,0.98541,1.01829,1.00026,328.79999999999995,180.2999999999999,54.83576642335763,7,3D,1.01734,1.0605466666666665,0.95253,1.0605466666666665,1.5,432.06666666666615,648.0999999999992,sl,-435.87211236650654,-1.0099647717169582,loss,466.9999999999996,435.2,0.23144576454250915,1.7063769136768512,2.0990687861628725,1.1572288227125458
EURCAD,M,bullish,direct_touch,2010-12-01,2011-01-03,2011-01-03 00:00:00,2011-01-05 15:00:00,2011-01-09 19:00:00,4.166666666666667,1.33249,1.30895,1.32593,235.39999999999998,169.79999999999995,72.1325403568394,9,3D,1.30927,1.2780966666666667,1.3560299999999998,1.2780966666666667,1.5,311.7333333333327,467.5999999999991,sl,-314.4313990459602,-1.0102589789754943,loss,29.000000000001247,314.9999999999986,0.32078699743370465,1.2471638112915875,1.4509019013357332,1.6039349871685231
CADJPY,M,bearish,direct_touch,2010-12-01,2011-01-03,2011-01-03 00:00:00,2011-01-07 12:00:00,2011-03-16 21:00:00,68.375,81.5355,84.2005,83.1335,266.5,106.70000000000073,40.03752345215787,12,D,84.003,87.42466666666667,78.87049999999999,78.87049999999999,1.5,342.1666666666667,513.2500000000007,tp,510.7570372919838,1.492699573186509,win,666.7000000000002,160.89999999999947,0.0029225523623964927,2.0172664482514455,0.4756962597652706,0.014612761811982464
AUDCAD,M,bullish,direct_touch,2010-12-01,2011-01-03,2011-01-07 13:00:00,2011-01-11 22:00:00,2011-01-19 02:00:00,7.166666666666667,0.98387,0.9738,0.97762,100.7,38.20000000000045,37.93445878848109,2,H4,0.97444,0.96144,0.99394,0.99394,1.5,130.0000000000001,195.0000000000007,tp,192.4293618713224,1.4763797067024789,win,197.6,38.79999999999994,0.7692307692307685,0.858273695204543,1.7123644334739756,3.8461538461538423
NZDUSD,M,bearish,direct_touch,2011-01-03,2011-02-01,2011-02-01 07:00:00,2011-02-01 17:00:00,2011-02-03 06:00:00,1.5416666666666667,0.77623,0.78145,0.77943,52.199999999999996,20.200000000000216,38.697318007663256,1,H1,0.78137,0.7882766666666667,0.77101,0.77101,1.5,69.06666666666727,103.60000000000035,tp,101.11341569182808,1.456757949205992,win,106.50000000000048,11.700000000000044,1.447876447876435,0.5550128031233221,1.931571505049575,7.239382239382175
GBPJPY,M,bearish,direct_touch,2010-12-01,2011-01-03,2011-01-11 16:00:00,2011-02-03 09:00:00,2011-03-16 21:00:00,41.5,130.235,134.2265,133.0635,399.15,116.29999999999825,29.136915946385635,6,D,132.809,137.18599999999998,126.24350000000001,126.24350000000001,1.5,437.6999999999981,656.5499999999986,tp,655.0874415110783,1.496647113344942,win,1008.4999999999993,271.50000000000034,0.0022846698652044875,0.44615933033618005,1.0163991585830279,0.011423349326022438
USDCAD,M,bullish,direct_touch,2011-01-03,2011-02-01,2011-02-01 15:00:00,2011-02-04 12:00:00,2011-02-28 17:00:00,24.208333333333332,0.99488,0.98378,0.99259,111.0,88.09999999999984,79.36936936936922,7,D,0.98566,0.9721133333333333,1.00598,0.9721133333333333,1.5,135.46666666666707,203.20000000000115,sl,-136.67619106848105,-1.012619520682682,loss,130.6000000000007,138.39999999999964,0.7381889763779506,0.6244814593052167,0.5850429425091009,3.690944881889753
