================================================================================
GAP SIZE OPTIMIZATION - PHASE A: SMART EXCLUSION FILTERS
TIMEFRAME: M
================================================================================

Total Configurations Tested: 182
Strategy: Test exclusion filters (remove outliers), not tight windows
Goal: Filter 5-20% of trades max (preserve trade count!)

================================================================================
TOP 3 CONFIGURATIONS (by Expectancy)
================================================================================

RANK #1: 150-200 pips
--------------------------------------------------------------------------------
  Range:            150-200 pips
  Trades:            231 ( 85.6% filtered)
  Expectancy:       +0.077R
  Win Rate:          43.7%
  SQN:               0.96
  Profit Factor:     1.14
  Max DD:            -16.8R
  Cumulative R:     +17.8R
  Duration (days):  Avg  24.9 | Min   0.0 | Max    288
  Concurrent:       Avg  0.9 | Max   4

RANK #2: 150-350 pips
--------------------------------------------------------------------------------
  Range:            150-350 pips
  Trades:            600 ( 62.5% filtered)
  Expectancy:       +0.067R
  Win Rate:          43.3%
  SQN:               1.34
  Profit Factor:     1.12
  Max DD:            -36.4R
  Cumulative R:     +40.2R
  Duration (days):  Avg  35.1 | Min   0.0 | Max    455
  Concurrent:       Avg  2.9 | Max   9

RANK #3: 150-225 pips
--------------------------------------------------------------------------------
  Range:            150-225 pips
  Trades:            321 ( 79.9% filtered)
  Expectancy:       +0.059R
  Win Rate:          43.0%
  SQN:               0.86
  Profit Factor:     1.10
  Max DD:            -25.0R
  Cumulative R:     +18.8R
  Duration (days):  Avg  27.6 | Min   0.0 | Max    288
  Concurrent:       Avg  1.3 | Max   6

================================================================================
ALL CONFIGURATIONS (sorted by Expectancy)
================================================================================

Description               Range         Trades   Filt%   Exp(R)   WR(%)     SQN      PF
25-575 pips               25-575          1541    3.6%  +0.015R   41.7%   0.50   1.03
Min 75 pips               75-9999         1349   15.6%  +0.015R   41.4%   0.46   1.03
Max 775 pips              0-775           1574    1.6%  +0.015R   41.7%   0.50   1.03
25-775 pips               25-775          1574    1.6%  +0.015R   41.7%   0.50   1.03
100-200 pips              100-200          586   63.4%  +0.015R   41.3%   0.30   1.03
Max 800 pips              0-800           1577    1.4%  +0.015R   41.7%   0.48   1.03
25-800 pips               25-800          1577    1.4%  +0.015R   41.7%   0.48   1.03
100-225 pips              100-225          676   57.7%  +0.015R   41.3%   0.31   1.02
Max 700 pips              0-700           1568    1.9%  +0.014R   41.6%   0.47   1.02
25-700 pips               25-700          1568    1.9%  +0.014R   41.6%   0.47   1.02
Max 425 pips              0-425           1466    8.3%  +0.014R   41.6%   0.45   1.02
25-425 pips               25-425          1466    8.3%  +0.014R   41.6%   0.45   1.02
Max 625 pips              0-625           1555    2.8%  +0.014R   41.6%   0.45   1.02
25-625 pips               25-625          1555    2.8%  +0.014R   41.6%   0.45   1.02
100-475 pips              100-475         1076   32.7%  +0.013R   41.3%   0.36   1.02
75-600 pips               75-600          1296   18.9%  +0.013R   41.3%   0.38   1.02
75-650 pips               75-650          1313   17.9%  +0.013R   41.3%   0.38   1.02
Max 325 pips              0-325           1340   16.2%  +0.013R   41.6%   0.39   1.02
25-325 pips               25-325          1340   16.2%  +0.013R   41.6%   0.39   1.02
Max 400 pips              0-400           1434   10.3%  +0.013R   41.6%   0.40   1.02
25-400 pips               25-400          1434   10.3%  +0.013R   41.6%   0.40   1.02
100-450 pips              100-450         1063   33.5%  +0.012R   41.2%   0.33   1.02
75-675 pips               75-675          1316   17.7%  +0.012R   41.3%   0.36   1.02
75-750 pips               75-750          1321   17.4%  +0.012R   41.3%   0.36   1.02
75-725 pips               75-725          1319   17.5%  +0.012R   41.2%   0.35   1.02
Max 525 pips              0-525           1525    4.6%  +0.011R   41.5%   0.37   1.02
25-525 pips               25-525          1525    4.6%  +0.011R   41.5%   0.37   1.02
75-575 pips               75-575          1291   19.3%  +0.011R   41.2%   0.34   1.02
75-775 pips               75-775          1324   17.2%  +0.011R   41.2%   0.34   1.02
75-800 pips               75-800          1327   17.0%  +0.011R   41.2%   0.33   1.02
Min 50 pips               50-9999         1512    5.4%  +0.011R   41.3%   0.34   1.02
75-700 pips               75-700          1318   17.6%  +0.011R   41.2%   0.32   1.02
