================================================================================
GAP SIZE OPTIMIZATION - PHASE A: SMART EXCLUSION FILTERS
TIMEFRAME: W
================================================================================

Total Configurations Tested: 182
Strategy: Test exclusion filters (remove outliers), not tight windows
Goal: Filter 5-20% of trades max (preserve trade count!)

================================================================================
TOP 3 CONFIGURATIONS (by Expectancy)
================================================================================

RANK #1: 150-225 pips
--------------------------------------------------------------------------------
  Range:            150-225 pips
  Trades:            633 ( 89.0% filtered)
  Expectancy:       +0.060R
  Win Rate:          43.1%
  SQN:               1.24
  Profit Factor:     1.11
  Max DD:            -13.1R
  Cumulative R:     +38.2R
  Duration (days):  Avg  13.2 | Min   0.0 | Max    152
  Concurrent:       Avg  1.4 | Max   6

RANK #2: Min 150 pips
--------------------------------------------------------------------------------
  Range:            150-9999 pips
  Trades:           1080 ( 81.3% filtered)
  Expectancy:       +0.046R
  Win Rate:          42.6%
  SQN:               1.23
  Profit Factor:     1.08
  Max DD:            -27.5R
  Cumulative R:     +49.2R
  Duration (days):  Avg  22.4 | Min   0.0 | Max   2979
  Concurrent:       Avg  4.1 | Max  13

RANK #3: 150-600 pips
--------------------------------------------------------------------------------
  Range:            150-600 pips
  Trades:           1055 ( 81.7% filtered)
  Expectancy:       +0.043R
  Win Rate:          42.5%
  SQN:               1.15
  Profit Factor:     1.07
  Max DD:            -27.1R
  Cumulative R:     +45.4R
  Duration (days):  Avg  17.2 | Min   0.0 | Max    350
  Concurrent:       Avg  3.3 | Max  13

================================================================================
ALL CONFIGURATIONS (sorted by Expectancy)
================================================================================

Description               Range         Trades   Filt%   Exp(R)   WR(%)     SQN      PF
50-400 pips               50-400          4683   18.8%  -0.009R   40.4%  -0.49   0.99
50-425 pips               50-425          4696   18.5%  -0.009R   40.4%  -0.49   0.99
50-225 pips               50-225          4322   25.0%  -0.009R   40.4%  -0.48   0.99
50-475 pips               50-475          4714   18.2%  -0.009R   40.4%  -0.51   0.99
Baseline (no filter)      0-9999          5765    0.0%  -0.009R   41.1%  -0.58   0.98
Min 25 pips               25-9999         5765    0.0%  -0.009R   41.1%  -0.58   0.98
50-450 pips               50-450          4708   18.3%  -0.009R   40.4%  -0.53   0.98
50-375 pips               50-375          4662   19.1%  -0.009R   40.4%  -0.53   0.98
Max 800 pips              0-800           5752    0.2%  -0.010R   41.1%  -0.62   0.98
25-800 pips               25-800          5752    0.2%  -0.010R   41.1%  -0.62   0.98
Max 675 pips              0-675           5745    0.3%  -0.010R   41.1%  -0.62   0.98
25-675 pips               25-675          5745    0.3%  -0.010R   41.1%  -0.62   0.98
Max 600 pips              0-600           5740    0.4%  -0.010R   41.1%  -0.62   0.98
25-600 pips               25-600          5740    0.4%  -0.010R   41.1%  -0.62   0.98
Max 725 pips              0-725           5751    0.2%  -0.010R   41.1%  -0.64   0.98
Max 750 pips              0-750           5751    0.2%  -0.010R   41.1%  -0.64   0.98
Max 775 pips              0-775           5751    0.2%  -0.010R   41.1%  -0.64   0.98
25-725 pips               25-725          5751    0.2%  -0.010R   41.1%  -0.64   0.98
25-750 pips               25-750          5751    0.2%  -0.010R   41.1%  -0.64   0.98
25-775 pips               25-775          5751    0.2%  -0.010R   41.1%  -0.64   0.98
Max 625 pips              0-625           5744    0.4%  -0.010R   41.1%  -0.64   0.98
Max 650 pips              0-650           5744    0.4%  -0.010R   41.1%  -0.64   0.98
25-625 pips               25-625          5744    0.4%  -0.010R   41.1%  -0.64   0.98
25-650 pips               25-650          5744    0.4%  -0.010R   41.1%  -0.64   0.98
Max 700 pips              0-700           5749    0.3%  -0.010R   41.1%  -0.64   0.98
25-700 pips               25-700          5749    0.3%  -0.010R   41.1%  -0.64   0.98
Max 550 pips              0-550           5728    0.6%  -0.010R   41.1%  -0.65   0.98
25-550 pips               25-550          5728    0.6%  -0.010R   41.1%  -0.65   0.98
Max 575 pips              0-575           5733    0.6%  -0.011R   41.1%  -0.68   0.98
25-575 pips               25-575          5733    0.6%  -0.011R   41.1%  -0.68   0.98
Max 500 pips              0-500           5719    0.8%  -0.011R   41.1%  -0.68   0.98
25-500 pips               25-500          5719    0.8%  -0.011R   41.1%  -0.68   0.98
50-350 pips               50-350          4639   19.5%  -0.011R   40.4%  -0.61   0.98
50-325 pips               50-325          4600   20.2%  -0.011R   40.3%  -0.61   0.98
Max 525 pips              0-525           5723    0.7%  -0.011R   41.1%  -0.70   0.98
25-525 pips               25-525          5723    0.7%  -0.011R   41.1%  -0.70   0.98
Max 400 pips              0-400           5679    1.5%  -0.012R   41.0%  -0.73   0.98
25-400 pips               25-400          5679    1.5%  -0.012R   41.0%  -0.73   0.98
Max 425 pips              0-425           5692    1.3%  -0.012R   41.0%  -0.73   0.98
25-425 pips               25-425          5692    1.3%  -0.012R   41.0%  -0.73   0.98
Max 475 pips              0-475           5710    1.0%  -0.012R   41.0%  -0.75   0.98
25-475 pips               25-475          5710    1.0%  -0.012R   41.0%  -0.75   0.98
Max 225 pips              0-225           5318    7.8%  -0.012R   41.1%  -0.73   0.98
25-225 pips               25-225          5318    7.8%  -0.012R   41.1%  -0.73   0.98
Max 450 pips              0-450           5704    1.1%  -0.012R   41.0%  -0.76   0.98
25-450 pips               25-450          5704    1.1%  -0.012R   41.0%  -0.76   0.98
Max 375 pips              0-375           5658    1.9%  -0.012R   41.0%  -0.77   0.98
25-375 pips               25-375          5658    1.9%  -0.012R   41.0%  -0.77   0.98
50-200 pips               50-200          4183   27.4%  -0.013R   40.3%  -0.72   0.98
Max 350 pips              0-350           5635    2.3%  -0.013R   41.0%  -0.84   0.98
25-350 pips               25-350          5635    2.3%  -0.013R   41.0%  -0.84   0.98
Max 325 pips              0-325           5596    2.9%  -0.013R   41.0%  -0.84   0.98
25-325 pips               25-325          5596    2.9%  -0.013R   41.0%  -0.84   0.98
50-300 pips               50-300          4555   21.0%  -0.013R   40.2%  -0.75   0.98
50-250 pips               50-250          4416   23.4%  -0.014R   40.2%  -0.79   0.98
Max 300 pips              0-300           5551    3.7%  -0.016R   40.9%  -0.98   0.97
25-300 pips               25-300          5551    3.7%  -0.016R   40.9%  -0.98   0.97
50-275 pips               50-275          4507   21.8%  -0.016R   40.2%  -0.87   0.97
Max 200 pips              0-200           5179   10.2%  -0.016R   41.0%  -0.95   0.97
